,tc,a_50,k_50
0,0.16833333333333333,837.0,0.010095399445636422
1,0.17,838.0,0.010095399445636422
2,0.17,839.0,0.010095399445636422
3,0.17166666666666666,840.0,0.010095399445636422
4,0.17166666666666666,841.0,0.010095399445636422
5,0.17166666666666666,842.0,0.010095399445636422
6,0.17166666666666666,843.0,0.010095399445636422
7,0.17166666666666666,844.0,0.010095399445636422
8,0.17166666666666666,845.0,0.010095399445636422
9,0.17166666666666666,846.0,0.010095399445636422
10,0.17166666666666666,847.0,0.010095399445636533
11,0.17166666666666666,848.0,0.010095399445636533
12,0.17166666666666666,849.0,0.010095399445636533
13,0.17166666666666666,850.0,0.010095399445636422
14,0.17166666666666666,851.0,0.010095399445636533
15,0.17166666666666666,852.0,0.010095399445636533
16,0.17166666666666666,853.0,0.010095399445636422
17,0.17166666666666666,854.0,0.010095399445636422
18,0.17166666666666666,855.0,0.010095399445636422
19,0.17166666666666666,856.0,0.010095399445636422
20,0.17166666666666666,857.0,0.010095399445636422
21,0.17166666666666666,858.0,0.010095399445636422
22,0.17166666666666666,859.0,0.010095399445636422
23,0.17166666666666666,860.0,0.010095399445636533
24,0.17166666666666666,861.0,0.010095399445636422
25,0.17166666666666666,862.0,0.010095399445636422
26,0.17333333333333334,863.0,0.010095399445636533
27,0.17333333333333334,864.0,0.010095399445636533
28,0.17333333333333334,865.0,0.010095399445636533
29,0.17333333333333334,866.0,0.010095399445636533
30,0.17333333333333334,867.0,0.010095399445636533
31,0.17333333333333334,868.0,0.010095399445636533
32,0.17333333333333334,869.0,0.010095399445636533
33,0.17333333333333334,870.0,0.010095399445636533
34,0.17333333333333334,871.0,0.010095399445636533
35,0.175,872.0,0.010095399445636533
36,0.175,873.0,0.010095399445636533
37,0.175,874.0,0.010095399445636533
38,0.175,875.0,0.010095399445636422
39,0.175,876.0,0.010095399445636533
40,0.175,877.0,0.010095399445636533
41,0.175,878.0,0.010095399445636533
42,0.175,879.0,0.010095399445636533
43,0.175,880.0,0.010095399445636533
44,0.175,881.0,0.010095399445636533
45,0.175,882.0,0.010095399445636533
46,0.175,883.0,0.010095399445636533
47,0.175,884.0,0.010095399445636533
48,0.175,885.0,0.010095399445636533
49,0.175,886.0,0.010095399445636533
50,0.175,887.0,0.010095399445636533
51,0.175,888.0,0.010095399445636533
52,0.175,889.0,0.010095399445636644
53,0.175,890.0,0.010095399445636533
54,0.175,891.0,0.010095399445636533
55,0.175,892.0,0.010095399445636533
56,0.175,893.0,0.010095399445636533
57,0.17666666666666667,894.0,0.010095399445636533
58,0.17666666666666667,895.0,0.010095399445636644
59,0.17666666666666667,896.0,0.010095399445636533
60,0.17666666666666667,897.0,0.010095399445636533
61,0.17833333333333334,898.0,0.010095399445636644
62,0.17833333333333334,899.0,0.010095399445636644
63,0.17833333333333334,900.0,0.010095399445636644
64,0.17833333333333334,901.0,0.010095399445636644
65,0.18,902.0,0.010095399445636644
66,0.18,903.0,0.010095399445636644
67,0.18,904.0,0.010095399445636644
68,0.18,905.0,0.010095399445636755
69,0.18,906.0,0.010095399445636644
70,0.18166666666666667,907.0,0.010095399445636644
71,0.18166666666666667,908.0,0.010095399445636644
72,0.18166666666666667,909.0,0.010095399445636644
73,0.18166666666666667,910.0,0.010095399445636644
74,0.18166666666666667,911.0,0.010095399445636644
75,0.18166666666666667,912.0,0.010095399445636644
76,0.18166666666666667,913.0,0.010095399445636644
77,0.18166666666666667,914.0,0.010095399445636755
78,0.18166666666666667,915.0,0.010095399445636755
79,0.18166666666666667,916.0,0.010095399445636755
80,0.18166666666666667,917.0,0.010095399445636755
81,0.18166666666666667,918.0,0.010095399445636755
82,0.18166666666666667,919.0,0.010095399445636755
83,0.18166666666666667,920.0,0.010095399445636755
84,0.18166666666666667,921.0,0.010095399445636866
85,0.18166666666666667,922.0,0.010095399445636866
86,0.18166666666666667,923.0,0.010095399445636866
87,0.18166666666666667,924.0,0.010095399445636866
88,0.185,925.0,0.010095399445636866
89,0.18666666666666668,926.0,0.010095399445636755
90,0.18666666666666668,927.0,0.010095399445636755
91,0.18666666666666668,928.0,0.010095399445636866
92,0.18666666666666668,929.0,0.010095399445636866
93,0.18666666666666668,930.0,0.010095399445636866
94,0.18666666666666668,931.0,0.010095399445636866
95,0.18666666666666668,932.0,0.010095399445636866
96,0.18666666666666668,933.0,0.010095399445636866
97,0.18666666666666668,934.0,0.010095399445636866
98,0.18666666666666668,935.0,0.010095399445636866
99,0.18833333333333332,936.0,0.010095399445636866
100,0.18833333333333332,937.0,0.010095399445636866
101,0.18833333333333332,938.0,0.010095399445636866
102,0.18833333333333332,939.0,0.010095399445636866
103,0.19,940.0,0.010095399445636866
104,0.19,941.0,0.010095399445636866
105,0.19,942.0,0.010095399445636977
106,0.19,943.0,0.010095399445636977
107,0.19166666666666668,944.0,0.010095399445636977
108,0.19166666666666668,945.0,0.010095399445636977
109,0.19333333333333333,946.0,0.010095399445636977
110,0.195,947.0,0.010095399445636977
111,0.19666666666666666,948.0,0.010095399445636977
112,0.19666666666666666,949.0,0.010095399445636977
