,tc,a_50,k_50
0,1.0,1001.0,0.020760335900529836
1,1.0,1002.0,0.020760335900530058
2,1.0,1003.0,0.02076033590053017
3,1.0,1004.0,0.020760335900529947
4,1.0,1005.0,0.020760335900529947
5,1.0,1006.0,0.02076033590053017
6,1.0,1007.0,0.020760335900530502
7,1.0,1008.0,0.020760335900530502
8,1.0,1009.0,0.020760335900530502
9,1.0,1010.0,0.02076033590053039
10,1.0,1011.0,0.02076033590053039
11,1.0,1012.0,0.020760335900530613
12,1.0,1013.0,0.020760335900530724
13,1.0,1014.0,0.020760335900530613
14,1.0,1015.0,0.02076033590053039
15,1.0,1016.0,0.020760335900530613
16,1.0,1017.0,0.020760335900530835
17,1.0,1018.0,0.020760335900530946
18,1.0,1019.0,0.020760335900530946
19,1.0,1020.0,0.020760335900530946
20,1.0,1021.0,0.020760335900530835
21,1.0,1022.0,0.020760335900531057
22,1.0,1023.0,0.020760335900531057
23,1.0,1024.0,0.02076033590053117
24,1.0,1025.0,0.02076033590053117
25,1.0,1026.0,0.020760335900531057
26,1.0,1027.0,0.02076033590053117
27,1.0,1028.0,0.02076033590053117
28,1.0,1029.0,0.02076033590053139
29,1.0,1030.0,0.02076033590053128
30,1.0,1031.0,0.020760335900531057
31,1.0,1032.0,0.02076033590053117
32,1.0,1033.0,0.020760335900531057
33,1.0,1034.0,0.020760335900531057
34,1.0,1035.0,0.020760335900530946
35,1.0,1036.0,0.020760335900531057
36,1.0,1037.0,0.02076033590053117
37,1.0,1038.0,0.02076033590053117
38,1.0,1039.0,0.02076033590053117
39,1.0,1040.0,0.02076033590053117
40,1.0,1041.0,0.02076033590053128
41,1.0,1042.0,0.02076033590053128
42,1.0,1043.0,0.02076033590053139
43,1.0,1044.0,0.02076033590053139
44,1.0,1045.0,0.020760335900531612
45,1.0,1046.0,0.0207603359005315
46,1.0,1047.0,0.0207603359005315
47,1.0,1048.0,0.0207603359005315
48,1.0,1049.0,0.020760335900531612
49,1.0,1050.0,0.0207603359005315
50,1.0,1051.0,0.0207603359005315
51,1.0,1052.0,0.020760335900531612
52,1.0,1053.0,0.020760335900531723
53,1.0,1054.0,0.020760335900532056
54,1.0,1055.0,0.020760335900531834
55,1.0,1056.0,0.020760335900531834
56,1.0,1057.0,0.020760335900531834
57,1.0,1058.0,0.020760335900531945
58,1.0,1059.0,0.02076033590053239
59,1.0,1060.0,0.02076033590053239
60,1.0,1061.0,0.0207603359005325
61,1.0,1062.0,0.020760335900532167
62,1.0,1063.0,0.02076033590053228
63,1.0,1064.0,0.02076033590053261
64,1.0,1065.0,0.02076033590053261
65,1.0,1066.0,0.020760335900532723
66,1.0,1067.0,0.0207603359005325
67,1.0,1068.0,0.0207603359005325
68,1.0,1069.0,0.020760335900532834
69,1.0,1070.0,0.020760335900532834
70,1.0,1071.0,0.020760335900533167
71,1.0,1072.0,0.020760335900533056
72,1.0,1073.0,0.020760335900532834
73,1.0,1074.0,0.020760335900533056
74,1.0,1075.0,0.020760335900533278
75,1.0,1076.0,0.0207603359005335
76,1.0,1077.0,0.020760335900533833
77,1.0,1078.0,0.020760335900533833
78,1.0,1079.0,0.020760335900533833
79,1.0,1080.0,0.020760335900533722
80,1.0,1081.0,0.020760335900533833
81,1.0,1082.0,0.020760335900534166
82,1.0,1083.0,0.020760335900534055
83,1.0,1084.0,0.020760335900533944
84,1.0,1085.0,0.020760335900533833
85,1.0,1086.0,0.020760335900534055
86,1.0,1087.0,0.020760335900534166
87,1.0,1088.0,0.020760335900534166
88,1.0,1089.0,0.020760335900534055
89,1.0,1090.0,0.020760335900533944
90,1.0,1091.0,0.020760335900534166
91,1.0,1092.0,0.020760335900534277
92,1.0,1093.0,0.020760335900534388
93,1.0,1094.0,0.020760335900534277
94,1.0,1095.0,0.020760335900534055
95,1.0,1096.0,0.020760335900534277
96,1.0,1097.0,0.020760335900534388
97,1.0,1098.0,0.0207603359005345
98,1.0,1099.0,0.020760335900534388
99,1.0,1100.0,0.020760335900534166
100,1.0,1101.0,0.020760335900534277
101,1.0,1102.0,0.020760335900534388
102,1.0,1103.0,0.0207603359005345
103,1.0,1104.0,0.0207603359005345
104,1.0,1105.0,0.020760335900534277
105,1.0,1106.0,0.020760335900534388
106,1.0,1107.0,0.0207603359005345
107,1.0,1108.0,0.02076033590053461
108,1.0,1109.0,0.02076033590053461
109,1.0,1110.0,0.0207603359005345
110,1.0,1111.0,0.0207603359005345
111,1.0,1112.0,0.02076033590053461
112,1.0,1113.0,0.02076033590053472
113,1.0,1114.0,0.02076033590053472
114,1.0,1115.0,0.0207603359005345
115,1.0,1116.0,0.02076033590053461
116,1.0,1117.0,0.02076033590053472
117,1.0,1118.0,0.020760335900534832
118,1.0,1119.0,0.02076033590053472
119,1.0,1120.0,0.02076033590053472
120,1.0,1121.0,0.02076033590053472
121,1.0,1122.0,0.020760335900534943
122,1.0,1123.0,0.020760335900535054
123,0.9533333333333334,1124.0,0.020769120695868448
124,0.96,1125.0,0.020768831292820478
125,0.965,1126.0,0.02076884019406655
126,0.9666666666666667,1127.0,0.020768851126170995
127,0.9683333333333334,1128.0,0.020768854254209712
128,0.97,1129.0,0.02076885487744562
129,0.9716666666666667,1130.0,0.020768854881591636
130,0.9733333333333334,1131.0,0.020768854870176323
131,0.975,1132.0,0.020768854867845632
132,0.975,1133.0,0.020768854867545095
133,0.975,1134.0,0.02076885486755553
134,0.975,1135.0,0.02076885486756308
135,0.975,1136.0,0.02076885486756419
136,0.975,1137.0,0.020768854867564412
137,0.9766666666666667,1138.0,0.02076885486756419
138,0.9766666666666667,1139.0,0.0207688548675643
139,0.9783333333333334,1140.0,0.02076885486756408
140,0.98,1141.0,0.020768854867564412
141,0.9816666666666667,1142.0,0.02076885486756419
142,0.9833333333333333,1143.0,0.02076885486756419
143,0.985,1144.0,0.0207688548675643
144,0.9866666666666667,1145.0,0.02076885486756408
145,0.9866666666666667,1146.0,0.02076885486756419
146,0.9866666666666667,1147.0,0.02076885486756397
147,0.9883333333333333,1148.0,0.02076885486756408
148,0.99,1149.0,0.02076885486756397
149,0.9916666666666667,1150.0,0.020768854867563746
150,0.9933333333333333,1151.0,0.020768854867563746
151,0.9933333333333333,1152.0,0.020768854867563746
152,0.9933333333333333,1153.0,0.020768854867563635
153,0.995,1154.0,0.020768854867563635
154,0.9966666666666667,1155.0,0.020768854867563746
155,0.9966666666666667,1156.0,0.020768854867563857
156,0.9966666666666667,1157.0,0.020768854867563857
157,0.9983333333333333,1158.0,0.02076885486756397
158,1.0,1159.0,0.020768854867563746
159,1.0,1160.0,0.020768854867563857
160,1.0,1161.0,0.020768854867563857
161,1.0,1162.0,0.020768854867563857
162,1.0,1163.0,0.020768854867563857
163,1.0,1164.0,0.020768854867563857
164,1.0,1165.0,0.020768854867563857
165,1.0,1166.0,0.020768854867563635
166,1.0,1167.0,0.020768854867563857
167,1.0,1168.0,0.020768854867563635
168,1.0,1169.0,0.020768854867563524
169,1.0,1170.0,0.020768854867563635
170,1.0,1171.0,0.020768854867563635
