,tc,a_50,k_50
0,1.0,1001.0,0.0011085506015934277
1,1.0,1002.0,0.0011085506015933166
2,1.0,1003.0,0.0011085506015933166
3,1.0,1004.0,0.0011085506015933166
4,1.0,1005.0,0.0011085506015933166
5,1.0,1006.0,0.0011085506015932056
6,1.0,1007.0,0.0011085506015932056
7,1.0,1008.0,0.0011085506015932056
8,1.0,1009.0,0.0011085506015932056
9,1.0,1010.0,0.0011085506015930946
10,1.0,1011.0,0.0011085506015930946
11,1.0,1012.0,0.0011085506015930946
12,1.0,1013.0,0.0011085506015930946
13,1.0,1014.0,0.0011085506015929836
14,1.0,1015.0,0.0011085506015929836
15,1.0,1016.0,0.0011085506015929836
16,1.0,1017.0,0.0011085506015929836
17,1.0,1018.0,0.0011085506015928726
18,1.0,1019.0,0.0011085506015928726
19,1.0,1020.0,0.0011085506015928726
20,1.0,1021.0,0.0011085506015928726
21,1.0,1022.0,0.0011085506015928726
22,1.0,1023.0,0.0011085506015927615
23,1.0,1024.0,0.0011085506015927615
24,1.0,1025.0,0.0011085506015927615
25,1.0,1026.0,0.0011085506015927615
26,1.0,1027.0,0.0011085506015926505
27,1.0,1028.0,0.0011085506015926505
28,1.0,1029.0,0.0011085506015926505
29,1.0,1030.0,0.0011085506015926505
30,1.0,1031.0,0.0011085506015925395
31,1.0,1032.0,0.0011085506015925395
32,1.0,1033.0,0.0011085506015925395
33,1.0,1034.0,0.0011085506015925395
34,1.0,1035.0,0.0011085506015924285
35,1.0,1036.0,0.0011085506015924285
36,1.0,1037.0,0.0011085506015924285
37,1.0,1038.0,0.0011085506015924285
38,1.0,1039.0,0.0011085506015923174
39,1.0,1040.0,0.0011085506015923174
40,1.0,1041.0,0.0011085506015923174
41,1.0,1042.0,0.0011085506015923174
42,1.0,1043.0,0.0011085506015923174
43,1.0,1044.0,0.0011085506015922064
44,1.0,1045.0,0.0011085506015922064
45,1.0,1046.0,0.0011085506015922064
46,1.0,1047.0,0.0011085506015922064
47,1.0,1048.0,0.0011085506015920954
48,1.0,1049.0,0.0011085506015920954
49,1.0,1050.0,0.0011085506015920954
50,1.0,1051.0,0.0011085506015920954
51,1.0,1052.0,0.0011085506015919844
52,1.0,1053.0,0.0011085506015919844
53,1.0,1054.0,0.0011085506015919844
54,1.0,1055.0,0.0011085506015919844
55,1.0,1056.0,0.0011085506015919844
56,1.0,1057.0,0.0011085506015918734
57,1.0,1058.0,0.0011085506015918734
58,1.0,1059.0,0.0011085506015918734
59,1.0,1060.0,0.0011085506015918734
60,1.0,1061.0,0.0011085506015917623
