,tc,a_50,k_50
0,0.058333333333333334,375.0,0.03391233612261402
1,0.058333333333333334,376.0,0.03288647887695795
2,0.058333333333333334,377.0,0.03192823742403228
3,0.058333333333333334,378.0,0.03151842827318352
4,0.058333333333333334,379.0,0.03151615126836482
5,0.058333333333333334,380.0,0.03151388468651528
6,0.058333333333333334,381.0,0.03151162845689526
7,0.058333333333333334,382.0,0.03150938250939683
8,0.058333333333333334,383.0,0.03150348975108708
9,0.058333333333333334,384.0,0.031501277867079014
10,0.056666666666666664,385.0,0.03149907599343804
11,0.056666666666666664,386.0,0.03130860438228955
12,0.058333333333333334,387.0,0.029934812462249938
13,0.058333333333333334,388.0,0.029116048208857492
14,0.058333333333333334,389.0,0.028498954313113334
15,0.058333333333333334,390.0,0.027950180121669832
16,0.058333333333333334,391.0,0.027419068950939485
17,0.058333333333333334,392.0,0.02688645541993151
18,0.058333333333333334,393.0,0.026853378532689653
19,0.058333333333333334,394.0,0.026853378532689653
20,0.058333333333333334,395.0,0.026853378532689542
21,0.058333333333333334,396.0,0.026853378532689542
22,0.058333333333333334,397.0,0.026853378532689542
23,0.058333333333333334,398.0,0.026853378532689542
24,0.058333333333333334,399.0,0.026853378532689542
25,0.058333333333333334,400.0,0.022262952018988535
26,0.058333333333333334,401.0,0.021647304151512836
27,0.058333333333333334,402.0,0.02102733416783753
28,0.058333333333333334,403.0,0.02040444200627023
29,0.058333333333333334,404.0,0.019779977093810852
30,0.058333333333333334,405.0,0.01915520142483329
31,0.06,406.0,0.018531262245429447
32,0.06,407.0,0.017947196947640576
33,0.06166666666666667,408.0,0.017947196947640576
34,0.06166666666666667,409.0,0.017947196947640576
35,0.06166666666666667,410.0,0.017947196947640576
36,0.06166666666666667,411.0,0.017947196947640576
37,0.06166666666666667,412.0,0.017947196947640576
38,0.06166666666666667,413.0,0.017947196947640576
39,0.06,414.0,0.017758975047814096
40,0.06,415.0,0.017234192474751553
41,0.06,416.0,0.016746469437721512
42,0.06,417.0,0.016293830319574876
43,0.06,418.0,0.015872767826326628
44,0.06,419.0,0.015478941255396728
45,0.06,420.0,0.01510773274979238
46,0.06,421.0,0.014754648214568955
47,0.06,422.0,0.01441557813830563
48,0.06,423.0,0.014487791485605417
49,0.06,424.0,0.014695259259812854
50,0.06,425.0,0.014577377522922652
51,0.06,426.0,0.014233845300478776
52,0.06,427.0,0.013899581582381582
53,0.06,428.0,0.013572332507034712
54,0.06,429.0,0.013250243520128158
55,0.06,430.0,0.01293184073091691
56,0.06,431.0,0.012615995645167355
57,0.06166666666666667,432.0,0.01230188053029968
58,0.06333333333333334,433.0,0.011988920039158413
59,0.06333333333333334,434.0,0.015721014054623894
60,0.06333333333333334,435.0,0.016564488287251766
61,0.06333333333333334,436.0,0.017606491293226556
62,0.06333333333333334,437.0,0.017947196947640576
63,0.06333333333333334,438.0,0.017947196947640576
64,0.06333333333333334,439.0,0.017947196947640576
65,0.06333333333333334,440.0,0.017967385248877643
66,0.06333333333333334,441.0,0.018562247562129874
67,0.06333333333333334,442.0,0.01927063467610657
68,0.06333333333333334,443.0,0.020071643926943716
69,0.06333333333333334,444.0,0.020940031795482872
70,0.06333333333333334,445.0,0.021850186056355803
71,0.06333333333333334,446.0,0.02277875964321796
72,0.06333333333333334,447.0,0.023532359234942568
73,0.065,448.0,0.02402442494064183
74,0.065,449.0,0.02450567839040152
75,0.065,450.0,0.024981169918845025
76,0.06666666666666667,451.0,0.02370729033932284
77,0.06666666666666667,452.0,0.024387805695170406
78,0.06666666666666667,453.0,0.02512946098264557
79,0.06666666666666667,454.0,0.02585529720276014
80,0.06666666666666667,455.0,0.02656400821796534
81,0.06666666666666667,456.0,0.026853378532689542
82,0.06666666666666667,457.0,0.02746639957187802
