,tc,a_50,k_50
0,0.1,678.0,0.027429887127770836
1,0.1,679.0,0.027429886879589915
2,0.1,680.0,0.027429886768940537
3,0.1,681.0,0.027429886715480634
4,0.1,682.0,0.027429886634871448
5,0.1,683.0,0.027429886589229513
6,0.1,684.0,0.02742988658065315
7,0.1,685.0,0.027429886593568265
8,0.1,686.0,0.027429886617600152
9,0.1,687.0,0.02742988664614876
10,0.1,688.0,0.02742988667170143
11,0.1,689.0,0.02742988670263602
12,0.1,690.0,0.027429886727248998
13,0.1,691.0,0.027429886748671306
14,0.1,692.0,0.027429886766905387
15,0.1,693.0,0.02742988678217284
16,0.1,694.0,0.02742988679330527
17,0.1,695.0,0.027429886797910696
18,0.1,696.0,0.027429886809434256
19,0.1,697.0,0.02742988681873504
20,0.1,698.0,0.027429886825699357
21,0.1,699.0,0.027429886830141248
22,0.1,700.0,0.027429886833618133
23,0.1,701.0,0.0274298868363807
24,0.10166666666666667,702.0,0.027429886838569617
25,0.10166666666666667,703.0,0.02742988684088965
26,0.10333333333333333,704.0,0.02742988684230041
27,0.10333333333333333,705.0,0.027429886843278517
28,0.10333333333333333,706.0,0.027429886844070106
29,0.10333333333333333,707.0,0.027429886844710594
30,0.10666666666666667,708.0,0.027429886845505846
31,0.10666666666666667,709.0,0.027429886845967033
32,0.10833333333333334,710.0,0.027429886846238483
33,0.10833333333333334,711.0,0.027429886846443097
34,0.10833333333333334,712.0,0.027429886846598084
35,0.10833333333333334,713.0,0.02742988684671599
36,0.10833333333333334,714.0,0.027429886846806584
37,0.10833333333333334,715.0,0.027429886846876417
38,0.10833333333333334,716.0,0.027429886846930707
39,0.10833333333333334,717.0,0.027429886846972784
40,0.10833333333333334,718.0,0.027429886847005647
41,0.10833333333333334,719.0,0.027429886847031293
42,0.10833333333333334,720.0,0.027429886847051166
43,0.11,721.0,0.027429886847059715
44,0.11,722.0,0.027429886847073925
45,0.11,723.0,0.027429886847084917
46,0.11166666666666666,724.0,0.027429886847093243
47,0.11166666666666666,725.0,0.02742988684709957
48,0.11166666666666666,726.0,0.027429886847104457
49,0.11333333333333333,727.0,0.027429886847107898
50,0.11333333333333333,728.0,0.02742988684711034
51,0.11333333333333333,729.0,0.027429886847112228
52,0.11333333333333333,730.0,0.02742988684711356
53,0.11333333333333333,731.0,0.02742988684711456
54,0.11333333333333333,732.0,0.027429886847115337
55,0.11333333333333333,733.0,0.027429886847116003
56,0.11333333333333333,734.0,0.027429886847116447
57,0.11333333333333333,735.0,0.02742988684711678
58,0.11333333333333333,736.0,0.027429886847117002
59,0.11333333333333333,737.0,0.027429886847117224
60,0.115,738.0,0.027429886847117335
61,0.115,739.0,0.027429886847117557
62,0.115,740.0,0.027429886847117668
63,0.115,741.0,0.027429886847117668
64,0.11666666666666667,742.0,0.02742988684711778
65,0.11666666666666667,743.0,0.02742988684711789
66,0.11666666666666667,744.0,0.02742988684711789
67,0.11666666666666667,745.0,0.027429886847118
68,0.11666666666666667,746.0,0.027429886847118
69,0.11333333333333333,747.0,0.027429886847118112
70,0.11333333333333333,748.0,0.027429886847118112
71,0.11333333333333333,749.0,0.027429886847118112
72,0.11333333333333333,750.0,0.027429886847118112
73,0.11333333333333333,751.0,0.027429886847118112
74,0.11333333333333333,752.0,0.027429886847118
75,0.11333333333333333,753.0,0.027429886847118112
76,0.11333333333333333,754.0,0.027429886847118112
77,0.11333333333333333,755.0,0.027429886847118112
78,0.11333333333333333,756.0,0.027429886847118112
79,0.11333333333333333,757.0,0.027429886847118112
80,0.11333333333333333,758.0,0.027429886847118112
81,0.11333333333333333,759.0,0.027429886847118112
82,0.11333333333333333,760.0,0.027429886847118223
83,0.11333333333333333,761.0,0.027429886847118112
84,0.11333333333333333,762.0,0.027429886847118112
85,0.11333333333333333,763.0,0.027429886847118112
86,0.115,764.0,0.027429886847118112
87,0.115,765.0,0.027429886847118112
88,0.115,766.0,0.027429886847118112
89,0.115,767.0,0.027429886847118112
90,0.115,768.0,0.027429886847118223
91,0.115,769.0,0.027429886847118223
92,0.115,770.0,0.027429886847118223
93,0.115,771.0,0.027429886847118112
94,0.115,772.0,0.027429886847118112
95,0.11666666666666667,773.0,0.027429886847118112
96,0.11666666666666667,774.0,0.02745775641887116
97,0.11666666666666667,775.0,0.02751508153077864
98,0.11666666666666667,776.0,0.02759856902016744
99,0.11833333333333333,777.0,0.02770081226336618
100,0.11833333333333333,778.0,0.027812356524121506
101,0.11833333333333333,779.0,0.027931329985178888
102,0.11833333333333333,780.0,0.028055614122320383
103,0.12,781.0,0.028183899010862268
104,0.12,782.0,0.028315999520499235
105,0.12,783.0,0.028451959705368624
106,0.12,784.0,0.028591166475948393
107,0.12,785.0,0.028733005685998347
108,0.12,786.0,0.02887705716208777
109,0.12,787.0,0.029023069371425292
110,0.12,788.0,0.029170896702077065
111,0.12166666666666667,789.0,0.029320451930253788
112,0.12166666666666667,790.0,0.029467974465013147
113,0.12166666666666667,791.0,0.029595457677955572
114,0.12166666666666667,792.0,0.029721646690182735
115,0.12166666666666667,793.0,0.029851049741133506
116,0.12166666666666667,794.0,0.02997834311396308
117,0.12166666666666667,795.0,0.030101226920879354
118,0.12166666666666667,796.0,0.03022749196555896
119,0.12166666666666667,797.0,0.0303551593356155
120,0.12166666666666667,798.0,0.03048295098023812
121,0.12166666666666667,799.0,0.030611037860063806
122,0.12166666666666667,800.0,0.030739566131358642
123,0.12166666666666667,801.0,0.03086865131387595
124,0.12166666666666667,802.0,0.030998380056328156
125,0.12166666666666667,803.0,0.031128814421129802
126,0.12166666666666667,804.0,0.031259996536944445
127,0.12333333333333334,805.0,0.031357989556315524
128,0.12333333333333334,806.0,0.031409162038032346
129,0.125,807.0,0.031449221908773084
130,0.125,808.0,0.03148517464599876
131,0.125,809.0,0.031571528661761605
132,0.125,810.0,0.031635799217896055
133,0.125,811.0,0.031698846889200105
134,0.125,812.0,0.03176208244348533
135,0.125,813.0,0.03183029521400382
136,0.125,814.0,0.03189961924348639
137,0.125,815.0,0.0319691405251431
138,0.125,816.0,0.03203906706506343
139,0.125,817.0,0.03210950474761265
140,0.125,818.0,0.03218049744143403
141,0.125,819.0,0.032252053197967645
142,0.125,820.0,0.03232416060594534
143,0.125,821.0,0.03239679857984279
144,0.125,822.0,0.03246994196515196
145,0.125,823.0,0.03254356458006247
146,0.125,824.0,0.032617640742756304
147,0.125,825.0,0.03269214593888636
148,0.125,826.0,0.032767057024417845
149,0.12333333333333334,827.0,0.03282285365505122
150,0.12333333333333334,828.0,0.03287898326635541
151,0.12333333333333334,829.0,0.03278234862826479
152,0.12333333333333334,830.0,0.03269927793713223
153,0.12333333333333334,831.0,0.03265322394242731
154,0.12333333333333334,832.0,0.032585394714431226
155,0.12333333333333334,833.0,0.03250069276757861
156,0.12333333333333334,834.0,0.032394982272317074
157,0.12333333333333334,835.0,0.03227180622072723
158,0.125,836.0,0.03214707046313614
159,0.125,837.0,0.03201491369739162
160,0.125,838.0,0.03189313543288863
161,0.125,839.0,0.03176855594868366
162,0.12666666666666668,840.0,0.03164154366851424
163,0.12666666666666668,841.0,0.03151421453556347
164,0.12666666666666668,842.0,0.03138659527072085
